Producator,Nume,Aeronava_id
GULFSTREAM AEROSPACE (GRUMMAN),GULFSTREAM I,G-159
DEHAVILLAND,DEHAVILLAND DHC8-100 DASH-8,DASH8-1
SHORT BROS.,SHORTS HARLAND SC-7 SKYVAN,SKYVAN
SHORT BROS.,SHORTS 330,SHORT330
SHORT BROS.,SHORTS 360,SHORT360
ANTONOV DESIGN BUREAU,ANTONOV 12,AN-12
LOCKHEED,LOCKHEED L100-30/L-382E,HERCULES
BOEING,BOEING 717-200,B717-2
BOEING,BOEING 737-700/700LR,B737-7
BOEING,BOEING 737-800,B737-8
BOEING,BOEING 737-500,B737-5
BOEING,BOEING 737-400,B737-4
BOEING,BOEING 737-300,B737-3
BOEING,BOEING 737-200C,B737-2C
BOEING,BOEING 757-200,B757-2
BOEING,BOEING 757-300,B757-3
BOEING,BOEING 767-400/ER,B767-4
BOEING,BOEING 767-200/ER/EM,B767-2/R
BOEING,BOEING 767-300/300ER,B767-3/R
BOEING,BOEING 777-200/200LR/233LR,B777-2
CANADAIR,CANADAIR RJ-100/RJ-100ER,RJ100/ER
CANADAIR,CANADAIR RJ-200ER /RJ-440,CRJ-2/4
CANADAIR,CANADAIR RJ-700,RJ-700
BOEING,BOEING 737-600,B737-6
MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-15F,DC-9-15F
MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-30,DC-9-30
MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-50,DC-9-50
MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC9 SUPER 87,MD-87
MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC9 SUPER 80/MD81/82/83/88,MD-80
MCDONNELL DOUGLAS,MCDONNELL DOUGLAS MD-90,MD-90
CESSNA,CESSNA CITATION X MODEL CE750 X,CE-750X
DASSAULT FALCON,DASSAULT FALCON 7X,7X
AIRBUS INDUSTRIE,AIRBUS INDUSTRAI A380-800,A380-8
RAYTHEON BEECHCRAFT,RAYTHEON BEECHCRAFT HAWKER 800XP,800XP
RAYTHEON BEECHCRAFT,RAYTHEON BEECHRAFT 390 PREMIER I,PREMIER
BOMBARDIER,LEARJET45,LEAR-45
GULFSTREAM,GULFSTREAM G450,G450
CESSNA,CESSNA C208B/GRAND CARAVAN,CE-208B
BOEING,BOEING 737-100/200,B737-1/2
DEHAVILLAND,DEHAVILLAND DHC8-400 DASH-8,DASH8-Q4
GULFSTREAM,GRUMMAN G-1159 GULFSTREAM II/III,G-III
BOMBARDIER,BOMBARDIER BD-100-1A10 CHALLENGER 300,BD-300
BOEING,BOEING 777-300/300ER/333ER,B777-3
GULFSTEAM,GULFSTREAM G200,G200
GULFSTEAM,GULFSTREAM G150,G150
CANADAIR,CANADAIR CL-600 CHALLENGER,CL-600
GULFSTREAM AEROSPACE,GULFSTREAM AEROSPACE G-III/G-IV,G-III/IV
ISRAEL AIRCRAFT INDUSTRIES,1124A WESTWIND II,WESTWIND
BOEING,BOEING B777-F,B777-F
AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-200,A340-2
AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-300,A340-3
AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-500,A340-5
AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-600,A340-6
BOMBARDIER,DEHAVILLAND DHC8-200Q DASH-8,DHC8-200
CESSNA,CESSNA 406 CARAVAN II,CARAVNII
CESSNA,CESSNA CITATION II/ BRAVO,CITATNII
CESSNA,CESSNA CITATION X MODEL 650/550B/550XL,CITATNX
DEHAVILLAND,DEHAVILLAND DHC8-300 DASH 8,DHC8-300
BOEING,BOEING 747-200/300,B747-2/3
AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A-318,A318
PIPER,PIPER PA-30/31T CHEYENNE II XL,PA-31T
DASSAULT FALCON,DASSAULT FALCON 900,FA-900
AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A320-100/200,A320-1/2
AIRBUS INDUSTRIE,AIRBUS A330-300,A330-3
EMBRAER,EMBRAER 170,EMB-170
PIPER,PIPER PA-31 (NAVAJO)/T-1020,NAVAJO
GULFSTREAM AEROSPACE,GULFSTREAM III/V/ G-V EXEC/ G-5/550,G-V
BOEING,BOEING 737-900,B737-9
BOMBARDIER,BOMBARDIER BD-700 GLOBAL EXPRESS,BD-700
EMBRAER,EMBRAER ERJ-175,ERJ-175
BOMBARDIER,BOMBARDIER CHALLENGER 604/605,CL-604/5
EMBRAER,EMBRAER 190,EMB-190
BOMBARDIER,CANADAIR (BOMBARDIER) CHALLLENGER 601,CL-601
DASSAULT FALCON,DASSAULT FALCON 50,FA-50
BRITISH AEROSP/HAWKER SIDDELEY,HAWKER SIDDELEY 125,HS-125
EMBRAER,EMBRAER-135,EMB-135
EMBRAER,EMBRAER-145,EMB-145
EMBRAER,EMBRAER-140,EMB-140
DASSAULT-BREGUET,DASSAULT-BREGUET MYSTERE-FALCON,FALCON
