destinatie_id,oras,stat_id
ABE,Allentown,PA
ABI,Abilene,TX
ABQ,Albuquerque,NM
ABR,Aberdeen,SD
ABY,Albany,GA
ACK,Nantucket,MA
ACT,Waco,TX
ACV,Arcata/Eureka,CA
ACY,Atlantic City,NJ
ADK,Adak,AK
ADQ,Kodiak,AK
AEX,Alexandria,LA
AGS,Augusta,GA
AKN,King Salmon,AK
ALB,Albany,NY
ALO,Waterloo,IA
AMA,Amarillo,TX
ANC,Anchorage,AK
APN,Alpena,MI
ASE,Aspen,CO
ATL,Atlanta,GA
ATW,Appleton,WI
AUS,Austin,TX
AVL,Asheville,NC
AVP,Wilkes-Barre/Scranton,PA
AZO,Kalamazoo,MI
BDL,Windsor Locks,CT
BET,Bethel,AK
BFL,Bakersfield,CA
BGM,Binghamton,NY
BGR,Bangor,ME
BHM,Birmingham,AL
BIL,Billings,MT
BIS,Bismarck,ND
BJI,Bemidji,MN
BLI,Bellingham,WA
BMI,Bloomington,IL
BNA,Nashville,TN
BOI,Boise,ID
BOS,Boston,MA
BPT,Beaumont/Port Arthur,TX
BQK,Brunswick,GA
BQN,Aguadilla,PR
BRD,Brainerd,MN
BRO,Brownsville,TX
BRW,Barrow,AK
BTM,Butte,MT
BTR,Baton Rouge,LA
BTV,Burlington,VT
BUF,Buffalo,NY
BUR,Burbank,CA
BWI,Baltimore,MD
BZN,Bozeman,MT
CAE,Columbia,SC
CAK,Akron,OH
CDC,Cedar City,UT
CDV,Cordova,AK
CEC,Crescent City,CA
CHA,Chattanooga,TN
CHO,Charlottesville,VA
CHS,Charleston,SC
CID,Cedar Rapids,IA
CIU,Sault Ste. Marie,MI
CLD,San Diego,CA
CLE,Cleveland,OH
CLL,College Station,TX
CLT,Charlotte,NC
CMH,Columbus,OH
CMI,Champaign/Urbana,IL
CMX,Hancock,MI
CNY,Moab,UT
COD,Cody,WY
COS,Colorado Springs,CO
COU,Columbia,MO
CPR,Casper,WY
CRP,Corpus Christi,TX
CRW,Charleston,WV
CSG,Columbus,GA
CVG,Covington,KY
CWA,Mosinee,WI
DAB,Daytona Beach,FL
DAL,Dallas,TX
DAY,Dayton,OH
DBQ,Dubuque,IA
DCA,Arlington,VA
DEN,Denver,CO
DFW,Dallas-Fort Worth,TX
DHN,Dothan,AL
DIK,Dickinson,ND
DLG,Dillingham,AK
DLH,Duluth,MN
DRO,Durango,CO
DSM,Des Moines,IA
DTW,Detroit,MI
DVL,Devils Lake,ND
EAU,Eau Claire,WI
ECP,Panama City,FL
EGE,Eagle,CO
EKO,Elko,NV
ELM,Elmira,NY
ELP,El Paso,TX
ERI,Erie,PA
ESC,Escanaba,MI
EUG,Eugene,OR
EVV,Evansville,IN
EWN,New Bern,NC
EWR,Newark,NJ
EYW,Key West,FL
FAI,Fairbanks,AK
FAR,Fargo,ND
FAT,Fresno,CA
FAY,Fayetteville,NC
FCA,Kalispell,MT
FLG,Flagstaff,AZ
