state_id,state
PA,Pennsylvania
TX,Texas
NM,New Mexico
SD,South Dakota
GA,Georgia
MA,Massachusetts
CA,California
NJ,New Jersey
AK,Alaska
LA,Louisiana
NY,New York
IA,Iowa
MI,Michigan
CO,Colorado
WI,Wisconsin
NC,North Carolina
CT,Connecticut
ME,Maine
AL,Alabama
MT,Montana
ND,North Dakota
MN,Minnesota
WA,Washington
IL,Illinois
TN,Tennessee
ID,Idaho
PR,Puerto Rico
VT,Vermont
MD,Maryland
SC,South Carolina
OH,Ohio
UT,Utah
VA,Virginia
WY,Wyoming
MO,Missouri
WV,West Virginia
KY,Kentucky
FL,Florida
NV,Nevada
OR,Oregon
IN,Indiana
AZ,Arizona
AR,Arkansas
KS,Kansas
MS,Mississippi
NE,Nebraska
GU,Guam
HI,Hawaii
DE,Delaware
OK,Oklahoma
NH,New Hampshire
AS,American Samoa
RI,Rhode Island
VI,Virgin Islands
